,Кодировка,Балл ЕГЭ,Код ученика
160,rus_ege_max_w2_021018_114aim,96.0,s96
161,soc_ege_max_w2_011018_66vpspb,61.0,s97
162,rus_ege_sint_SRED_on_170319_1web,94.0,s98
163,bio_ege_max_on_w1_050918_19kum,100.0,s99
164,che_int_on_w2_050219_1kumsk,100.0,s99
165,rus_ege_sint_SRED_on_170319_1web,100.0,s99
166,soc_ege_max_w1_050918_92kum,41.0,s100
167,rus_ege_max_w2_041018_110kum,82.0,s101
168,mat_ege_max_w1_040918_43kum,74.0,s101
169,soc_ege_max_w1_070918_36chekb,60.0,s102
170,mat_ege_max_on+class_w2_290918_1tula,74.0,s103
171,phi_ege_max_on+class_w2_230918_1tula,66.0,s103
172,eng_ege_int_w2_060219_1kumsk,72.0,s104
173,soc_ege_int_w2_090219_7kumsk,66.0,s104
174,soc_ege_max_w2_011018_102aim,68.0,s105
175,rus_ege_max_w2_051018_vld,87.0,s106
176,bio_ege_opt_w2_261118_10vld,63.0,s106
177,mat_ege_max_w2_051018_vld,50.0,s106
178,soc_ege_sint_lvl3_SLAB_310319_14oktmsk,76.0,s107
179,mat_ege_sint_lvl2_SRED_220319_8oktmsk,92.0,s107
180,rus_ege_sint_lvl3_SLAB_240319_12oktmsk,80.0,s107
181,che_ege_max_on+class_w2_220918_1tula,56.0,s108
182,rus_ege_max_on+class_w2_230918_1tula,87.0,s108
183,bio_ege_opt_w2_011218_6mgnsk,72.0,s109
184,mat_opt_w1_041118_2mgnsk,80.0,s109
185,che_ege_max_w1_030918_144okm,64.0,s110
186,lit_ege_max_w1_090918_62chekb,84.0,s111
187,mat_ege_max_w1_080918_59kum,70.0,s112
188,soc_ege_max_w2_041018_3irk,56.0,s113
189,rus_ege_max_w2_260918_4irk,71.0,s113
190,mat_ege_max_w1_030918_7mgnsk,76.0,s114
191,phi_ege_max_on_w2_051018_36chekb,66.0,s115
192,mat_ege_max_w1_070918_11chekb,68.0,s116
193,inf_ege_max_w1_040918_41mgnsk,94.0,s117
194,mat_ege_max_w1_030918_7mgnsk,88.0,s117
195,rus_ege_max_w1_060918_2mgnsk,96.0,s117
196,mat_ege_max_w2_041018_43vpspb,84.0,s118
197,phi_ege_max_w2_051018_102vpspb,84.0,s118
198,phi_ege_int_ctp_mini_on_180219_2web,68.0,s119
199,bio_ege_max_w1_040918_57mgnsk,40.0,s120
200,mat_ege_max_w1_050918_12mgnsk,33.0,s120
201,rus_ege_int_w2_070219_1mgnsk,64.0,s121
202,phi_int_on_w2_060219_1kumsk,68.0,s122
203,eng_ege_int_w2_060219_1kumsk,84.0,s123
204,mat_ege_sint_lvl2_SRED_220319_8oktmsk,70.0,s123
205,mat_ege_int_ctp_mini_on_080219_2web,74.0,s124
206,mat_ege_max_w1_090918_41blm,82.0,s125
207,soc_opt_w1_311018_6aim,31.0,s126
208,rus_opt_on_w2_261118_mgnsk,82.0,s127
209,soc_ege_max_w2_011018_37chekb,82.0,s128
210,rus_ege_max_w2_021018_26chekb,80.0,s128
211,mat_ege_max_w2_061018_15chekb,82.0,s128
212,mat_ege_max_w1_070918_33vpspb,74.0,s129
213,rus_ege_max_w2_021018_26chekb,73.0,s130
214,mat_ege_max_w1_080918_6chekb,74.0,s130
215,che_ege_max_w1_090918_66chekb,56.0,s130
216,inf_opt_on_w2_021218_knn,68.0,s131
217,mat_opt_w2_281118_6chekb,74.0,s131
218,rus_opt_w1_271118_4chekb,87.0,s131
219,inf_ege_max_w2_041018_49knn,75.0,s132
220,mat_opt_on_w2_271118_knn,62.0,s133
221,rus_ege_max_w2_041018_110kum,57.0,s134
222,lit_int_on_w2_050219_1kumsk,80.0,s135
223,soc_ege_opt_w2_021218_2irk,56.0,s136
224,bio_ege_max_w1_050918_46knn,78.0,s137
225,soc_ege_max_w1_060918_27knn,92.0,s137
226,mat_ege_max_w1_030918_8knn,56.0,s137
227,mat_ege_max_w1_040918_8mgnsk,78.0,s138
228,soc_opt_w2_011218_1knn,87.0,s139
229,mat_ege_max_w2_071018_16knn,86.0,s139
230,chm_ege_opt_w2_261118_1irk,53.0,s140
231,chm_ege_opt_w2_251118_5surgt,73.0,s141
232,rus_ege_max_w2_041018_surgt,70.0,s141
233,mat_ege_max_w2_021018_surgt,5.0,s141
234,mat_ege_max_w1_080918_13knn,56.0,s142
235,lit_ege_opt_w1_031118_1irk,71.0,s143
236,soc_ege_max_w1_050918_35chekb,61.0,s144
237,rus_ege_max_w2_021018_85vpspb,82.0,s145
238,eng_ege_max_w1_080918_2kum,76.0,s146
239,soc_ege_max_w1_040918_101blm,84.0,s146
240,rus_ege_max_w1_030918_120blm,82.0,s146
241,bio_ege_max_w1_040918_9vpspb,68.0,s147
242,rus_ege_max_w1_090918_84vpspb,96.0,s147
243,che_ege_max_w1_050918_108vpspb,47.0,s147
244,phi_ege_max_on_w1_060918_9vpspb,0.0,s148
245,mat_ege_max_on_w2_071018_32kum,70.0,s149
246,soc_ege_max_w1_070918_22mgnsk,76.0,s150
247,mat_ege_max_w1_050918_12mgnsk,80.0,s150
248,mat_ege_max_w1_060918_9chekb,70.0,s151
249,soc_ege_max_w2_041018_68vpspb,47.0,s152
250,mat_ege_max_w1_060918_74okm,62.0,s153
251,mat_ege_int_w2_070219_2mgnsk,39.0,s154
252,soc_ege_max_w1_030918_98blm,77.0,s155
253,rus_ege_max_w1_050918_124blm,94.0,s155
254,phi_ege_opt_w2_011218_5aim,46.0,s156
255,bio_ege_max_on_w1_050918_19kum,91.0,s157
256,che_ege_max_on_w1_030918_18kum,69.0,s157
257,rus_ege_max_on_w2_021018_30Knn,98.0,s157
258,soc_ege_max_w2_071018_vld,59.0,s158
259,rus_ege_max_w2_051018_vld,73.0,s158
260,chm_ege_opt_w2_251118_5surgt,52.0,s159
261,phi_ege_max_on_w1_060918_9vpspb,66.0,s160
262,phi_ege_max_w2_031018_surgt,57.0,s161
263,phi_ege_max_w2_071018_1volgd,58.0,s162
264,mat_ege_max_w2_061018_4volgd,76.0,s162
265,soc_ege_max_w1_040918_79okm,33.0,s163
266,eng_ege_baza_max_w2_011018_7kum,23.0,s163
267,mat_opt_w2_301118_8aim,62.0,s164
268,soc_ege_max_on_w1_040918_10kum,87.0,s165
269,soc_ege_int_w2_090219_5vspb,45.0,s166
270,rus_ege_int_w1_140119_2chekb,87.0,s167
271,mat_ege_max_w1_090918_35vpspb,45.0,s168
272,soc_opt_on_w2_271118_chekb,96.0,s169
273,mat_int_on_w2_100219_1kumsk,80.0,s169
274,che_ege_on_personal_god_250918_6m,60.0,s170
275,bio_ege_max_on_w1_050918_19kum,77.0,s171
276,mat_opt_w1_011218_10aim,45.0,s172
277,che_ege_max_w1_060918_143kum,74.0,s172
278,soc_ege_max_w1_030918_99okm,87.0,s173
279,rus_ege_max_w1_011018_2volgd,80.0,s174
280,his_ege_max_w2_031018_1volgd,60.0,s174
